product_id,metric_date,hashtag,total_views,daily_new_posts,avg_engagement_rate,top_influencer_posts,sentiment_score
1,2020-01-05,#stanleycup,3406431,196,3.71,29,0.66
1,2020-01-12,#stanleycup,5023872,158,3.94,23,0.65
1,2020-01-19,#stanleycup,8021279,134,2.97,20,0.76
1,2020-01-26,#stanleycup,8809444,57,3.22,8,0.75
1,2020-02-02,#stanleycup,10416497,135,3.76,20,0.63
1,2020-02-09,#stanleycup,11316263,111,3.94,16,0.81
1,2020-02-16,#stanleycup,12283845,183,3.69,27,0.79
1,2020-02-23,#stanleycup,15278879,162,3.65,24,0.71
1,2020-03-01,#stanleycup,16201598,81,2.63,12,0.83
1,2020-03-08,#stanleycup,19446252,146,2.97,21,0.62
1,2020-03-15,#stanleycup,21768096,82,2.59,12,0.61
1,2020-03-22,#stanleycup,24954762,160,2.6,24,0.61
1,2020-03-29,#stanleycup,27054706,63,2.94,9,0.7
1,2020-04-05,#stanleycup,29955156,155,2.85,23,0.8
1,2020-04-12,#stanleycup,32358809,52,3.18,7,0.8
1,2020-04-19,#stanleycup,35538916,75,3.01,11,0.8
1,2020-04-26,#stanleycup,38396197,166,3.28,24,0.65
1,2020-05-03,#stanleycup,41714015,76,2.52,11,0.62
1,2020-05-10,#stanleycup,42876365,99,3.86,14,0.76
1,2020-05-17,#stanleycup,45343102,115,3.03,17,0.78
1,2020-05-24,#stanleycup,46548362,163,2.78,24,0.8
1,2020-05-31,#stanleycup,49393568,65,2.69,9,0.71
1,2020-06-07,#stanleycup,52079573,141,2.97,21,0.79
1,2020-06-14,#stanleycup,54993799,87,3.2,13,0.69
1,2020-06-21,#stanleycup,57593690,144,3.96,21,0.75
1,2020-06-28,#stanleycup,60154780,87,2.59,13,0.8
1,2020-07-05,#stanleycup,62403747,193,3.79,28,0.69
1,2020-07-12,#stanleycup,63842373,101,3.46,15,0.8
1,2020-07-19,#stanleycup,66288285,137,2.78,20,0.77
1,2020-07-26,#stanleycup,68203590,169,3.4,25,0.81
1,2020-08-02,#stanleycup,71164695,194,3.94,29,0.67
1,2020-08-09,#stanleycup,73531990,134,2.74,20,0.82
1,2020-08-16,#stanleycup,74245556,60,3.24,9,0.76
1,2020-08-23,#stanleycup,75727771,108,3.2,16,0.66
