product_id,price_date,open_price,high_price,low_price,close_price,adj_close_price,volume,market_cap
3,2020-01-01,86.27,86.78,85.74,85.87,85.87,496511,8586991406.01
3,2020-01-02,85.07,85.71,84.33,85.66,85.66,480230,8565822016.12
3,2020-01-03,87.54,89.25,86.81,88.39,88.39,408025,8838936880.78
3,2020-01-04,89.26,89.94,89.09,89.77,89.77,585797,8977254704.47
3,2020-01-05,90.11,90.5,89.56,90.23,90.23,446860,9023391019.7
3,2020-01-06,86.18,87.06,85.86,86.81,86.81,586950,8680812521.45
3,2020-01-07,88.84,89.84,88.31,89.38,89.38,585377,8937877208.91
3,2020-01-08,88.19,89.54,88.04,89.0,89.0,421571,8900199355.06
3,2020-01-09,88.28,88.67,87.85,87.96,87.96,485178,8795953333.26
3,2020-01-10,87.46,87.5,86.67,87.47,87.47,453872,8747277627.04
3,2020-01-11,88.6,89.4,88.12,88.94,88.94,515497,8893802384.47
3,2020-01-12,86.25,87.63,85.57,86.79,86.79,518615,8679311681.88
3,2020-01-13,87.38,88.27,87.34,88.1,88.1,432805,8810103107.67
3,2020-01-14,88.12,88.77,87.88,88.43,88.43,433276,8842941583.14
3,2020-01-15,87.26,88.12,87.13,87.64,87.64,460116,8764126430.76
3,2020-01-16,90.06,90.13,88.64,89.52,89.52,519370,8952050725.56
3,2020-01-17,87.46,89.06,86.84,88.34,88.34,539526,8833539539.1
3,2020-01-18,89.85,90.54,89.38,89.44,89.44,504817,8944254934.61
3,2020-01-19,88.61,89.16,87.68,87.97,87.97,590298,8796814701.62
3,2020-01-20,86.69,87.72,86.4,87.45,87.45,513597,8745052066.56
3,2020-01-21,89.59,90.01,88.79,88.9,88.9,427909,8889787194.62
3,2020-01-22,91.73,92.42,90.82,91.34,91.34,532681,9133587835.56
3,2020-01-23,91.34,91.73,91.27,91.3,91.3,557713,9129783506.41
3,2020-01-24,93.44,94.21,92.84,94.18,94.18,410760,9418219598.31
3,2020-01-25,95.15,95.39,94.0,94.38,94.38,418079,9438329527.06
3,2020-01-26,91.12,91.33,90.59,90.66,90.66,558572,9065974418.45
3,2020-01-27,89.99,90.71,88.66,89.22,89.22,428292,8922098564.35
3,2020-01-28,89.01,89.72,88.19,88.35,88.35,469220,8835240677.95
3,2020-01-29,89.09,89.89,88.27,88.55,88.55,479198,8855045320.41
3,2020-01-30,89.59,90.5,89.2,90.29,90.29,492117,9029249739.82
3,2020-01-31,89.96,91.32,89.58,90.85,90.85,531721,9085433393.43
3,2020-02-01,90.85,91.47,90.54,91.36,91.36,440081,9135595029.2
3,2020-02-02,91.12,91.76,90.76,91.09,91.09,434413,9108866888.79
3,2020-02-03,92.72,93.6,91.62,91.85,91.85,461505,9185208458.28
3,2020-02-04,87.97,88.39,87.44,88.35,88.35,436918,8835477748.89
3,2020-02-05,88.34,88.38,88.09,88.33,88.33,571552,8833443137.09
3,2020-02-06,87.4,88.45,86.53,88.02,88.02,487309,8802108977.14
3,2020-02-07,88.12,89.17,87.45,88.58,88.58,544826,8857834661.22
3,2020-02-08,89.77,90.58,89.2,90.01,90.01,430827,9000628615.59
3,2020-02-09,88.46,88.54,87.66,88.4,88.4,511069,8839627629.21
3,2020-02-10,85.88,87.18,85.29,86.67,86.67,555121,8667160072.15
3,2020-02-11,84.89,86.15,84.69,85.72,85.72,400988,8571596358.75
3,2020-02-12,84.24,84.57,83.13,83.92,83.92,431865,8392055064.77
3,2020-02-13,84.13,85.03,84.03,84.74,84.74,419982,8474060956.41
3,2020-02-14,86.69,87.17,85.69,86.14,86.14,509965,8614479064.48
3,2020-02-15,83.62,84.13,82.86,84.05,84.05,478809,8404998310.5
3,2020-02-16,84.24,84.81,83.63,84.51,84.51,442498,8451206098.92
3,2020-02-17,86.54,87.3,85.19,85.86,85.86,494461,8585888385.2
3,2020-02-18,84.14,85.48,83.63,84.72,84.72,475258,8471691824.54
3,2020-02-19,84.3,85.22,83.74,85.14,85.14,492696,8513584967.04
3,2020-02-20,88.61,88.8,87.71,88.34,88.34,448548,8833827639.12
3,2020-02-21,88.73,89.49,88.07,89.2,89.2,583389,8920192954.48
3,2020-02-22,91.23,91.75,90.86,90.95,90.95,477514,9094739031.58
3,2020-02-23,91.48,91.97,91.26,91.73,91.73,463671,9172550149.44
3,2020-02-24,92.33,92.91,90.88,91.61,91.61,587052,9161157528.56
3,2020-02-25,92.27,92.8,91.81,92.26,92.26,479976,9226412815.47
3,2020-02-26,93.04,93.47,92.43,93.45,93.45,465422,9344634044.03
3,2020-02-27,91.28,92.74,90.4,91.87,91.87,456638,9187240960.58
3,2020-02-28,90.6,92.34,90.21,91.49,91.49,534949,9148937003.78
3,2020-02-29,93.69,94.58,92.03,92.82,92.82,574536,9282328595.71
3,2020-03-01,91.92,92.21,91.12,91.28,91.28,519387,9127908943.41
3,2020-03-02,88.64,89.47,87.92,88.54,88.54,506823,8854099565.49
3,2020-03-03,87.2,88.06,86.88,87.0,87.0,469373,8700240560.52
3,2020-03-04,87.33,88.09,86.65,87.3,87.3,533975,8729599540.73
3,2020-03-05,88.96,89.48,88.24,89.21,89.21,594045,8921310493.29
3,2020-03-06,91.69,92.48,90.29,91.12,91.12,405379,9112012792.53
3,2020-03-07,92.64,93.23,91.44,92.09,92.09,577117,9208608818.5
3,2020-03-08,99.8,100.68,98.87,99.21,99.21,435632,9920937344.74
3,2020-03-09,97.86,97.89,97.25,97.71,97.71,447031,9770570615.31
3,2020-03-10,97.36,97.63,96.7,97.27,97.27,472456,9727224728.09
3,2020-03-11,95.66,96.89,94.92,96.38,96.38,500291,9638331149.21
3,2020-03-12,97.95,99.12,97.87,98.51,98.51,400318,9851135977.73
3,2020-03-13,98.71,99.34,97.91,98.63,98.63,519834,9863070006.36
3,2020-03-14,98.3,98.8,97.06,97.37,97.37,479636,9737493330.47
3,2020-03-15,96.0,96.19,95.97,96.12,96.12,415453,9611531752.73
3,2020-03-16,98.69,99.51,97.1,97.78,97.78,446014,9778279013.54
3,2020-03-17,94.81,95.7,94.28,95.46,95.46,499989,9546475833.91
3,2020-03-18,95.26,95.89,94.59,94.85,94.85,408849,9485473617.37
3,2020-03-19,98.75,99.15,98.4,98.91,98.91,460387,9890912391.83
3,2020-03-20,101.5,101.52,100.86,100.98,100.98,418570,10098120134.34
3,2020-03-21,101.86,102.01,101.35,101.91,101.91,476813,10190784408.45
3,2020-03-22,103.46,103.7,103.01,103.52,103.52,435975,10351724216.45
3,2020-03-23,107.22,107.27,106.53,106.93,106.93,430149,10692795166.24
3,2020-03-24,104.16,104.69,103.01,103.9,103.9,462218,10390158828.52
3,2020-03-25,101.02,102.55,100.99,101.89,101.89,535054,10189315260.65
3,2020-03-26,103.04,104.01,102.27,102.87,102.87,496130,10286542414.87
3,2020-03-27,106.07,106.74,105.07,106.16,106.16,452203,10615920962.6
3,2020-03-28,103.33,104.56,102.39,103.56,103.56,591003,10356294708.85
3,2020-03-29,103.28,104.51,102.4,104.18,104.18,435903,10417602289.12
3,2020-03-30,101.93,103.75,101.64,102.91,102.91,479643,10290986850.95
3,2020-03-31,103.94,104.85,102.91,103.68,103.68,503469,10367554980.44
3,2020-04-01,102.89,103.18,102.09,102.27,102.27,421286,10226989680.42
3,2020-04-02,104.85,105.28,103.44,103.83,103.83,561245,10382909057.08
3,2020-04-03,105.71,106.07,104.15,105.13,105.13,469257,10512772308.94
3,2020-04-04,105.23,106.02,104.59,104.7,104.7,546534,10470157482.13
3,2020-04-05,107.9,108.44,106.15,107.03,107.03,531173,10703385862.93
3,2020-04-06,108.29,108.54,107.3,108.53,108.53,480894,10852580994.53
3,2020-04-07,107.0,108.23,105.98,107.88,107.88,561383,10788492866.72
3,2020-04-08,108.41,108.9,107.81,108.13,108.13,432176,10812658220.1
3,2020-04-09,109.07,110.18,108.25,109.45,109.45,425747,10944606607.64
3,2020-04-10,109.94,111.39,109.87,110.85,110.85,501394,11084504907.09
3,2020-04-11,112.38,112.88,111.27,112.27,112.27,537259,11227128236.18
3,2020-04-12,109.66,111.29,108.98,110.45,110.45,402317,11045137116.91
3,2020-04-13,108.9,109.87,108.13,109.77,109.77,530763,10977455644.28
