product_id,trend_date,search_interest,region
1,2020-01-01,5,US
1,2020-01-02,3,US
1,2020-01-03,4,US
1,2020-01-04,3,US
1,2020-01-05,5,US
1,2020-01-06,5,US
1,2020-01-07,6,US
1,2020-01-08,3,US
1,2020-01-09,4,US
1,2020-01-10,3,US
1,2020-01-11,3,US
1,2020-01-12,5,US
1,2020-01-13,3,US
1,2020-01-14,3,US
1,2020-01-15,5,US
1,2020-01-16,5,US
1,2020-01-17,3,US
1,2020-01-18,5,US
1,2020-01-19,6,US
1,2020-01-20,3,US
1,2020-01-21,6,US
1,2020-01-22,5,US
1,2020-01-23,4,US
1,2020-01-24,3,US
1,2020-01-25,6,US
1,2020-01-26,4,US
1,2020-01-27,3,US
1,2020-01-28,3,US
1,2020-01-29,6,US
1,2020-01-30,5,US
1,2020-01-31,6,US
1,2020-02-01,5,US
1,2020-02-02,5,US
1,2020-02-03,6,US
1,2020-02-04,4,US
1,2020-02-05,5,US
1,2020-02-06,6,US
1,2020-02-07,5,US
1,2020-02-08,6,US
1,2020-02-09,5,US
1,2020-02-10,5,US
1,2020-02-11,3,US
1,2020-02-12,3,US
1,2020-02-13,4,US
1,2020-02-14,3,US
1,2020-02-15,3,US
1,2020-02-16,3,US
1,2020-02-17,4,US
1,2020-02-18,5,US
1,2020-02-19,4,US
1,2020-02-20,4,US
1,2020-02-21,3,US
1,2020-02-22,4,US
1,2020-02-23,6,US
1,2020-02-24,5,US
1,2020-02-25,5,US
1,2020-02-26,3,US
1,2020-02-27,5,US
1,2020-02-28,3,US
1,2020-02-29,4,US
1,2020-03-01,6,US
1,2020-03-02,5,US
1,2020-03-03,5,US
1,2020-03-04,5,US
1,2020-03-05,6,US
1,2020-03-06,6,US
1,2020-03-07,3,US
1,2020-03-08,3,US
1,2020-03-09,4,US
1,2020-03-10,4,US
1,2020-03-11,3,US
1,2020-03-12,6,US
1,2020-03-13,6,US
1,2020-03-14,4,US
1,2020-03-15,5,US
1,2020-03-16,4,US
1,2020-03-17,6,US
1,2020-03-18,4,US
1,2020-03-19,4,US
1,2020-03-20,3,US
1,2020-03-21,5,US
1,2020-03-22,4,US
1,2020-03-23,5,US
1,2020-03-24,6,US
1,2020-03-25,4,US
1,2020-03-26,3,US
1,2020-03-27,6,US
1,2020-03-28,5,US
1,2020-03-29,3,US
1,2020-03-30,3,US
1,2020-03-31,3,US
1,2020-04-01,5,US
1,2020-04-02,6,US
1,2020-04-03,4,US
1,2020-04-04,3,US
1,2020-04-05,4,US
1,2020-04-06,6,US
1,2020-04-07,5,US
1,2020-04-08,6,US
1,2020-04-09,6,US
1,2020-04-10,3,US
1,2020-04-11,5,US
1,2020-04-12,5,US
1,2020-04-13,5,US
1,2020-04-14,4,US
1,2020-04-15,5,US
1,2020-04-16,3,US
1,2020-04-17,4,US
1,2020-04-18,4,US
1,2020-04-19,6,US
1,2020-04-20,6,US
1,2020-04-21,4,US
1,2020-04-22,5,US
1,2020-04-23,3,US
1,2020-04-24,6,US
1,2020-04-25,6,US
1,2020-04-26,4,US
1,2020-04-27,5,US
1,2020-04-28,5,US
1,2020-04-29,3,US
1,2020-04-30,6,US
1,2020-05-01,5,US
1,2020-05-02,6,US
1,2020-05-03,5,US
1,2020-05-04,3,US
1,2020-05-05,4,US
1,2020-05-06,3,US
1,2020-05-07,6,US
1,2020-05-08,6,US
1,2020-05-09,6,US
1,2020-05-10,4,US
1,2020-05-11,3,US
1,2020-05-12,6,US
1,2020-05-13,6,US
1,2020-05-14,3,US
1,2020-05-15,4,US
1,2020-05-16,3,US
1,2020-05-17,6,US
1,2020-05-18,6,US
1,2020-05-19,3,US
1,2020-05-20,4,US
1,2020-05-21,5,US
1,2020-05-22,4,US
1,2020-05-23,6,US
1,2020-05-24,4,US
1,2020-05-25,3,US
1,2020-05-26,5,US
1,2020-05-27,5,US
1,2020-05-28,3,US
1,2020-05-29,4,US
1,2020-05-30,6,US
1,2020-05-31,5,US
1,2020-06-01,4,US
1,2020-06-02,5,US
1,2020-06-03,3,US
1,2020-06-04,3,US
1,2020-06-05,4,US
1,2020-06-06,5,US
1,2020-06-07,3,US
1,2020-06-08,3,US
1,2020-06-09,3,US
1,2020-06-10,5,US
1,2020-06-11,3,US
1,2020-06-12,6,US
1,2020-06-13,6,US
1,2020-06-14,3,US
1,2020-06-15,3,US
1,2020-06-16,5,US
1,2020-06-17,3,US
1,2020-06-18,3,US
1,2020-06-19,6,US
1,2020-06-20,5,US
1,2020-06-21,4,US
1,2020-06-22,6,US
1,2020-06-23,6,US
1,2020-06-24,3,US
1,2020-06-25,3,US
1,2020-06-26,4,US
1,2020-06-27,4,US
1,2020-06-28,4,US
1,2020-06-29,5,US
1,2020-06-30,5,US
1,2020-07-01,6,US
1,2020-07-02,3,US
1,2020-07-03,4,US
1,2020-07-04,4,US
1,2020-07-05,6,US
1,2020-07-06,3,US
1,2020-07-07,3,US
1,2020-07-08,4,US
1,2020-07-09,4,US
1,2020-07-10,4,US
1,2020-07-11,3,US
1,2020-07-12,6,US
1,2020-07-13,4,US
1,2020-07-14,6,US
1,2020-07-15,5,US
1,2020-07-16,3,US
1,2020-07-17,6,US
1,2020-07-18,6,US
1,2020-07-19,6,US
1,2020-07-20,6,US
1,2020-07-21,6,US
1,2020-07-22,3,US
1,2020-07-23,4,US
1,2020-07-24,3,US
1,2020-07-25,4,US
1,2020-07-26,3,US
1,2020-07-27,4,US
1,2020-07-28,6,US
1,2020-07-29,4,US
1,2020-07-30,6,US
1,2020-07-31,4,US
1,2020-08-01,4,US
1,2020-08-02,6,US
1,2020-08-03,6,US
1,2020-08-04,5,US
1,2020-08-05,5,US
1,2020-08-06,3,US
1,2020-08-07,4,US
1,2020-08-08,6,US
1,2020-08-09,5,US
1,2020-08-10,5,US
1,2020-08-11,5,US
1,2020-08-12,3,US
1,2020-08-13,5,US
1,2020-08-14,5,US
1,2020-08-15,6,US
1,2020-08-16,3,US
1,2020-08-17,6,US
1,2020-08-18,3,US
1,2020-08-19,3,US
1,2020-08-20,5,US
1,2020-08-21,5,US
1,2020-08-22,3,US
1,2020-08-23,3,US
1,2020-08-24,6,US
1,2020-08-25,3,US
1,2020-08-26,5,US
1,2020-08-27,5,US
1,2020-08-28,4,US
1,2020-08-29,5,US
